A,B,Link Size
Retail Industry Leaders Association,Coalition for Fair Effective Tax Rates,2
James Loy,Coalition for Immigration Security,2
Stewart Verdery,Coalition for Immigration Security,2
Alcoa,Coalition for Interstate Tax Fairness & Job Growth,2
ALEC,Coalition for Interstate Tax Fairness & Job Growth,2
American Apparel & Footwear Association,Coalition for Interstate Tax Fairness & Job Growth,2
American Bankers Association,Coalition for Interstate Tax Fairness & Job Growth,2
American Express,Coalition for Interstate Tax Fairness & Job Growth,2
American Trucking Associations,Coalition for Interstate Tax Fairness & Job Growth,2
Americans for Tax Reform,Coalition for Interstate Tax Fairness & Job Growth,2
Apple,Coalition for Interstate Tax Fairness & Job Growth,2
Arch Coal,Coalition for Interstate Tax Fairness & Job Growth,2
Barclays,Coalition for Interstate Tax Fairness & Job Growth,2
Bayer,Coalition for Interstate Tax Fairness & Job Growth,2
Burger King,Coalition for Interstate Tax Fairness & Job Growth,2
Caterpillar,Coalition for Interstate Tax Fairness & Job Growth,2
Citigroup,Coalition for Interstate Tax Fairness & Job Growth,2
Consumer Electronics Association,Coalition for Interstate Tax Fairness & Job Growth,2
CropLife America,Coalition for Interstate Tax Fairness & Job Growth,2
Disney,Coalition for Interstate Tax Fairness & Job Growth,2
Dow Chemical,Coalition for Interstate Tax Fairness & Job Growth,2
eBay,Coalition for Interstate Tax Fairness & Job Growth,2
GE,Coalition for Interstate Tax Fairness & Job Growth,2
Hearst Corporation,Coalition for Interstate Tax Fairness & Job Growth,2
HSBC,Coalition for Interstate Tax Fairness & Job Growth,2
Huntington Ingalls Industries,Coalition for Interstate Tax Fairness & Job Growth,2
Johnson & Johnson,Coalition for Interstate Tax Fairness & Job Growth,2
Kimberly-Clark,Coalition for Interstate Tax Fairness & Job Growth,2
Merck,Coalition for Interstate Tax Fairness & Job Growth,2
Microsoft,Coalition for Interstate Tax Fairness & Job Growth,2
Motion Picture Association of America,Coalition for Interstate Tax Fairness & Job Growth,2
National Association of Manufacturers,Coalition for Interstate Tax Fairness & Job Growth,2
National Restaurant Association,Coalition for Interstate Tax Fairness & Job Growth,2
National Retail Federation,Coalition for Interstate Tax Fairness & Job Growth,2
National Taxpayers Union,Coalition for Interstate Tax Fairness & Job Growth,2
Nationwide Insurance,Coalition for Interstate Tax Fairness & Job Growth,2
Nestlé,Coalition for Interstate Tax Fairness & Job Growth,2
PPG Industries,Coalition for Interstate Tax Fairness & Job Growth,2
Sanofi,Coalition for Interstate Tax Fairness & Job Growth,2
Sony,Coalition for Interstate Tax Fairness & Job Growth,2
Symantec,Coalition for Interstate Tax Fairness & Job Growth,2
Thomson Reuters,Coalition for Interstate Tax Fairness & Job Growth,2
Time Warner,Coalition for Interstate Tax Fairness & Job Growth,2
Tyson Foods,Coalition for Interstate Tax Fairness & Job Growth,2
U.S. Chamber of Commerce,Coalition for Interstate Tax Fairness & Job Growth,2
UPS,Coalition for Interstate Tax Fairness & Job Growth,2
Viacom,Coalition for Interstate Tax Fairness & Job Growth,2
Wells Fargo,Coalition for Interstate Tax Fairness & Job Growth,2
Wendy's,Coalition for Interstate Tax Fairness & Job Growth,2
Yum!,Coalition for Interstate Tax Fairness & Job Growth,2
Committee on the Present Danger,Coalition for Peace Through Strength,2
Daniel Graham,Coalition for Peace through Strength,2
Robert Grant,Coalition for Religious Freedom,2
Tim LaHaye,Coalition for Religious Freedom,2
Unification Church,Coalition for Religious Freedom,2
APCO Worldwide,Coalition for the Modernization and Protection of America's Social Security,2
Derrick Max,Coalition for the Modernization and Protection of America's Social Security,2
Derrick Max,Coalition for the Modernization and Protection of America's Social Security,2
Ari Fleischer,Coalition Information Center,2
Charlotte Beers,Coalition Information Center,2
Dan Senor,Coalition Information Center,2
John Rendon,Coalition Information Center,2
Karen Hughes,Coalition Information Center,2
Mary Matalin,Coalition Information Center,2
Torie Clarke,Coalition Information Center,2
Larry Summers,Coalition of Services Industries,2
Bernie Kerik,Coalition Provisional Authority,2
Larry Diamond,Coalition Provisional Authority,2
Michael Rubin,Coalition Provisional Authority,2
Noah Feldman,Coalition Provisional Authority,2
Nour USA,Coalition Provisional Authority,2
Paul Bremer,Coalition Provisional Authority,2
Simone Ledeen,Coalition Provisional Authority,2
Tom Korologos,Coalition Provisional Authority,2
Alston & Bird,Coca-Cola,2
Burson,Coca-Cola,2
Cohn & Wolfe,Coca-Cola,2
Cohn & Wolfe,Coca-Cola,2
Dan Glickman,Coca-Cola,2
Dewey Square Group,Coca-Cola,2
Dewey Square Group,Coca-Cola,2
Dolphin Group,Coca-Cola,2
Evan Greenberg,Coca-Cola,2
Gene Rackley,Coca-Cola,2
Gene Rackley,Coca-Cola,2
Global Energy Balance Network,Coca-Cola,2
Glover Park Group,Coca-Cola,2
Healthy Weight Commitment Foundation,Coca-Cola,2
Herbert Allen,Coca-Cola,2
Jacob Wallenberg,Coca-Cola,2
Jacob Wallenberg,Coca-Cola,2
James Quincey,Coca-Cola,2
Joel Johnson,Coca-Cola,2
Joyce Brayboy,Coca-Cola,2
Kissinger Associates,Coca-Cola,2
Lexington Communications,Coca-Cola,2
Melanie Nathanson,Coca-Cola,2
Muhtar Kent,Coca-Cola,2
Muhtar Kent,Coca-Cola,2
Patrick Siewert,Coca-Cola,2
Sam Nunn,Coca-Cola,2
Weber Shandwick,Coca-Cola,2
James Loy,Cohen Group,2
Joseph Ralston,Cohen Group,2
William Cohen,Cohen Group,2
Cordelia Scaife May,Colcom Foundation,2
Robert Scales,Colgen,2
Chevron,Colin Allred,2
ExxonMobil,Colin Allred,2
Anschutz Fortune,Collegiate Network,2
Intercollegiate Studies Institute,Collegiate Network,2
Matthew Continetti,Collegiate Network,2
Mellon Scaife Fortune,Collegiate Network,2
Michael Joyce,Collegiate Network,2
Sarah Longwell,Collegiate Network,2
Searle Fortune,Collegiate Network,2
Seid Fortune,Collegiate Network,2
Bayer,Collin Peterson,2
Syngenta,Collin Peterson,2
Appleby,Colony NorthStar,2
Eli Broad,Colony NorthStar,2
GE,Colony NorthStar,2
Merrill Lynch,Colony NorthStar,2
Nicholas Ribis Sr.,Colony NorthStar,2
Robert Bass,Colony NorthStar,2
Tom Barrack,Colony NorthStar,2
Edward Breen,Comcast,2
Lori Koch,Comcast,2
Nickles Group,Comcast,2
Torie Clarke,Comcast,2
Alan Greenspan,Comeback America Initiative,2
David Walker,Comeback America Initiative,2
Doug Holtz-Eakin,Comeback America Initiative,2
Paul Volcker,Comeback America Initiative,2
American Jewish Committee,Commentary,2
Amity Shlaes,Commentary,2
Angelo Codevilla,Commentary,2
Bret Stephens,Commentary,2
Caroline Glick,Commentary,2
Charles Krauthammer,Commentary,2
Douglas Feith,Commentary,2
George Weigel,Commentary,2
Gordon Chang,Commentary,2
Herbert London,Commentary,2
Hertog Fortune,Commentary,2
Jewish Communal Fund,Commentary,2
John Podhoretz,Commentary,2
Klingenstein Fortune,Commentary,2
Max Boot,Commentary,2
Meir Soloveichik,Commentary,2
Michael Fumento,Commentary,2
Michael Rubin,Commentary,2
Middle East Media Research Institute,Commentary,2
Midge Decter,Commentary,2
Norman Podhoretz,Commentary,2
Rachel Abrams,Commentary,2
Richard Pipes,Commentary,2
Robert Kagan,Commentary,2
Roger Hertog,Commentary,2
Rosenwald Fortune,Commentary,2
Sarah May Stern,Commentary,2
Seth Mandel,Commentary,2
Sohrab Ahmari,Commentary,2
Tikvah,Commentary,2
Yuval Levin,Commentary,2
Danco Finans,Commerzbank,2
Leonid Reiman,Commerzbank,2
Bill Dunn Fortune,Committee for a Constructive Tomorrow,2
ClearWord Communications,Committee For A Constructive Tomorrow,2
DonorsTrust/Donors Capital Fund,Committee for a Constructive Tomorrow,2
European Institute for Climate and Energy,Committee for a Constructive Tomorrow,2
Marc Morano,Committee for a Constructive Tomorrow,2
Mercer Fortune,Committee for a Constructive Tomorrow,2
Murray Energy,Committee for a Constructive Tomorrow,2
Robert Poole,Committee for a Constructive Tomorrow,2
Sallie Baliunas,Committee for a Constructive Tomorrow,2
Heritage Foundation,Committee for a Free Afghanistan,2
John Singlaub,Committee for a Free Afghanistan,2
Milnor Roberts,Committee for a Free Afghanistan,2
World Anti-Communist League,Committee for a Free Afghanistan,2
Deloitte,Committee for Economic Development,2
Dow Chemical,Committee for Economic Development,2
FedEx,Committee for Economic Development,2
General Electric,Committee for Economic Development,2
Honeywell,Committee for Economic Development,2
McKinsey,Committee for Economic Development,2
Peterson Fortune,Committee for Economic Development,2
PNC,Committee for Economic Development,2
State Farm,Committee for Economic Development,2
Wells Fargo,Committee for Economic Development,2
Boyden Gray,Committee for Justice,2
Boyden Gray,Committee for Justice,2
Concord Fund/85 Fund,Committee for Justice,2
Connie Mack,Committee for Justice,2
Connie Mack,Committee for Justice,2
Ed Rogers,Committee for Justice,2
Ed Rogers,Committee for Justice,2
Frank Keating,Committee for Justice,2
Fred Fielding,Committee for Justice,2
Fred Fielding,Committee for Justice,2
George H.W. Bush,Committee for Justice,2
Haley Barbour,Committee for Justice,2
Haley Barbour,Committee for Justice,2
John Engler,Committee for Justice,2
John Engler,Committee for Justice,2
Alexis de Tocqueville Institution,Committee for the Common Defense,2
Caspar Weinberger,Committee for the Common Defense,2
Dick Cheney,Committee for the Common Defense,2
Donald Rumsfeld,Committee for the Common Defense,2
Frank Carlucci,Committee for the Common Defense,2
Harold Brown,Committee for the Common Defense,2
James Schlesinger,Committee for the Common Defense,2
Loren Thompson,Committee for the Common Defense,2
Melvin Laird,Committee for the Common Defense,2
Northrop Grumman,Committee for the Common Defense,2
Arnaud de Borchgrave,Committee for the Free World,2
Bill Kristol,Committee for the Free World,2
Bradley Foundation,Committee for the Free World,2
Coors Fortune,Committee for the Free World,2
Donald Rumsfeld,Committee for the Free World,2
Edwin Feulner,Committee for the Free World,2
Elliott Abrams,Committee for the Free World,2
Eugene Rostow,Committee for the Free World,2
ExxonMobil,Committee for the Free World,2
George Will,Committee for the Free World,2
Heritage Foundation,Committee for the Free World,2
Irving Kristol,Committee for the Free World,2
Jeane Kirkpatrick,Committee for the Free World,2
John M. Olin Foundation,Committee for the Free World,2
Joshua Muravchik,Committee for the Free World,2
Lewis Tambs,Committee for the Free World,2
Lewis Tambs,Committee for the Free World,2
Max Singer,Committee for the Free World,2
Mellon Scaife Fortune,Committee for the Free World,2
Melvin Lasky,Committee for the Free World,2
Michael Ledeen,Committee for the Free World,2
Midge Decter,Committee for the Free World,2
National Endowment for Democracy,Committee for the Free World,2
Norman Podhoretz,Committee for the Free World,2
Ray Cline,Committee for the Free World,2
Richard Allen,Committee for the Free World,2
Robert Bork,Committee for the Free World,2
Sears,Committee for the Free World,2
Seymour Martin Lipset,Committee for the Free World,2
Sidney Hook,Committee for the Free World,2
Smith Richardson Foundation,Committee for the Free World,2
William Simon,Committee for the Free World,2
Barry McCaffrey,Committee for the Liberation of Iraq,2
Bill Kristol,Committee for the Liberation of Iraq,2
Bruce Jackson,Committee for the Liberation of Iraq,2
Danielle Pletka,Committee for the Liberation of Iraq,2
Eliot Cohen,Committee for the Liberation of Iraq,2
Gary Schmitt,Committee for the Liberation of Iraq,2
George Shultz,Committee for the Liberation of Iraq,2
Jeane Kirkpatrick,Committee for the Liberation of Iraq,2
Jim Woolsey,Committee for the Liberation of Iraq,2
Joe Lieberman,Committee for the Liberation of Iraq,2
John McCain,Committee for the Liberation of Iraq,2
Joshua Muravchik,Committee for the Liberation of Iraq,2
Leon Wieseltier,Committee for the Liberation of Iraq,2
Newt Gingrich,Committee for the Liberation of Iraq,2
Project for the New American Century,Committee for the Liberation of Iraq,2
Randy Scheunemann,Committee for the Liberation of Iraq,2
Richard Perle,Committee for the Liberation of Iraq,2
Robert Kagan,Committee for the Liberation of Iraq,2
Thomas Dine,Committee for the Liberation of Iraq,2
Wayne Downing,Committee for the Liberation of Iraq,2
Wayne Downing,Committee for the Liberation of Iraq,2
Douglas Feith,Committee for U.S. Interests in the Middle East,2
Elliott Abrams,Committee for U.S. Interests in the Middle East,2
Frank Gaffney,Committee for U.S. Interests in the Middle East,2
John Lehman,Committee for U.S. Interests in the Middle East,2
Richard Perle,Committee for U.S. Interests in the Middle East,2
Albert Shanker,Committee on the Present Danger,2
Americans for Victory Over Terrorism,Committee on the Present Danger,2
Arthur Waldron,Committee on the Present Danger,2
Bayard Rustin,Committee on the Present Danger,2
Ben Wattenberg,Committee on the Present Danger,2
Bob McEwen,Committee on the Present Danger,2
Bud McFarlane,Committee on the Present Danger,2
Charles Kupperman,Committee on the Present Danger,2
Coalition for a Democratic Majority,Committee on the Present Danger,2
Danielle Pletka,Committee on the Present Danger,2
Donald Brennan,Committee on the Present Danger,2
Donald Rumsfeld,Committee on the Present Danger,2
Dov Zakheim,Committee on the Present Danger,2
Eugene Rostow,Committee on the Present Danger,2
Frank Barnett,Committee on the Present Danger,2
Frank Gaffney,Committee on the Present Danger,2
Fred Ikle,Committee on the Present Danger,2
Freedom House,Committee on the Present Danger,2
George Shultz,Committee on the Present Danger,2
George Tanham,Committee on the Present Danger,2
Henry Fowler,Committee on the Present Danger,2
Heritage Foundation,Committee on the Present Danger,2
Hoover Institution,Committee on the Present Danger,2
Ilan Berman,Committee on the Present Danger,2
Jay Lovestone,Committee on the Present Danger,2
Jeane Kirkpatrick,Committee on the Present Danger,2
Jerry Boykin,Committee on the Present Danger,2
Jim Woolsey,Committee on the Present Danger,2
Joe Lieberman,Committee on the Present Danger,2
John Lehman,Committee on the Present Danger,2
John Lyons,Committee on the Present Danger,2
Jon Kyl,Committee on the Present Danger,2
Joshua Muravchik,Committee on the Present Danger,2
Kenneth Adelman,Committee on the Present Danger,2
Lane Kirkland,Committee on the Present Danger,2
Laurie Mylroie,Committee on the Present Danger,2
Manhattan Institute,Committee on the Present Danger,2
Mark Helprin,Committee on the Present Danger,2
Martin Anderson,Committee on the Present Danger,2
Max Kampelman,Committee on the Present Danger,2
Mellon Scaife Fortune,Committee on the Present Danger,2
Michael Novak,Committee on the Present Danger,2
Michael Rubin,Committee on the Present Danger,2
Midge Decter,Committee on the Present Danger,2
Morris Amitay,Committee on the Present Danger,2
National Institute for Public Policy,Committee on the Present Danger,2
Newt Gingrich,Committee on the Present Danger,2
Nina Rosenwald,Committee on the Present Danger,2
Norman Podhoretz,Committee on the Present Danger,2
Paul Nitze,Committee on the Present Danger,2
Paul Seabury,Committee on the Present Danger,2
Peter Hannaford,Committee on the Present Danger,2
Rachelle Horowitz,Committee on the Present Danger,2
Ray Cline,Committee on the Present Danger,2
Raymond Tanter,Committee on the Present Danger,2
Richard Allen,Committee on the Present Danger,2
Richard Perle,Committee on the Present Danger,2
Richard Pipes,Committee on the Present Danger,2
Rita Hauser,Committee on the Present Danger,2
Ronald Reagan,Committee on the Present Danger,2
Scott Perry,Committee on the Present Danger,2
Steve Bannon,Committee on the Present Danger,2
Steven Mosher,Committee on the Present Danger,2
Team B,Committee on the Present Danger,2
Thomas McInerney,Committee on the Present Danger,2
Tidal McCoy,Committee on the Present Danger,2
Victor Davis Hanson,Committee on the Present Danger,2
Victoria Toensing,Committee on the Present Danger,2
William Bennett,Committee on the Present Danger,2
William Casey,Committee on the Present Danger,2
William Colby,Committee on the Present Danger,2
William Van Cleave,Committee on the Present Danger,2
Chuck Colson,Committee to Re-elect the President,2
Donald Segretti,Committee to Re-elect the President,2
Francis Dale,Committee to Re-elect the President,2
Fred Malek,Committee to Re-elect the President,2
Gordon Liddy,Committee to Re-elect the President,2
Herb Kalmbach,Committee to Re-elect the President,2
Howard Hunt,Committee to Re-elect the President,2
James McCord,Committee to Re-elect the President,2
Richard Nixon,Committee to Re-elect the President,2
Roger Stone,Committee to Re-elect the President,2
Arthur Laffer,Committee to Unleash Prosperity,2
Concord Fund/85 Fund,Committee to Unleash Prosperity,2
Larry Kudlow,Committee to Unleash Prosperity,2
Stephen Moore,Committee to Unleash Prosperity,2
Steve Forbes,Committee to Unleash Prosperity,2
Thomas Smith Fortune,Committee to Unleash Prosperity,2
Christopher DeMuth,Common Good,2
Mary Ann Glendon,Common Good,2
Newt Gingrich,Common Good,2
Pete Peterson,Common Good,2
Andrew Cuff,Commonwealth Foundation,2
Jennifer Stefano,Commonwealth Foundation,2
JM Foundation,Commonwealth Foundation,2
Roe Fortune,Commonwealth Foundation,2
Bill Dunn Fortune,Commonwealth Foundation for Public Policy Alternatives,2
Bradley Foundation,Commonwealth Foundation for Public Policy Alternatives,2
DonorsTrust/Donors Capital Fund,Commonwealth Foundation for Public Policy Alternatives,2
State Policy Network,Commonwealth Foundation for Public Policy Alternatives,2
Allison DeFoor,Communications International,2
Robert Stork,Communications International,2
Canon Press,Communion of Reformed Evangelical Churches,2
"Christ Church (Moscow, Idaho)",Communion of Reformed Evangelical Churches,2
Doug Wilson,Communion of Reformed Evangelical Churches,2
New Saint Andrews College,Communion of Reformed Evangelical Churches,2
Pete Hegseth,Communion of Reformed Evangelical Churches,2
Peter Leithart,Communion of Reformed Evangelical Churches,2
Pilgrim Hill Reformed Fellowship,Communion of Reformed Evangelical Churches,2
Oliver North,Compagnie de Services Fiduciaires,2
Richard Secord,Compagnie de Services Fiduciaires,2
60 Plus Association,Competitive Enterprise Institute,2
Abstraction Fund,Competitive Enterprise Institute,2
Achelis and Bodman Foundation,Competitive Enterprise Institute,2
Aequus Institute,Competitive Enterprise Institute,2
Alexis de Tocqueville Institution,Competitive Enterprise Institute,2
Alliance of Automobile Manufacturers,Competitive Enterprise Institute,2
Altria,Competitive Enterprise Institute,2
Amazon,Competitive Enterprise Institute,2
American Bankers Association,Competitive Enterprise Institute,2
American Beverage Association,Competitive Enterprise Institute,2
American Coalition for Clean Coal Electricity,Competitive Enterprise Institute,2
American Conservative,Competitive Enterprise Institute,2
American Fuel & Petrochemical Manufacturers,Competitive Enterprise Institute,2
American Future Fund,Competitive Enterprise Institute,2
American Petroleum Institute,Competitive Enterprise Institute,2
Americans for Prosperity,Competitive Enterprise Institute,2
Americans for Prosperity,Competitive Enterprise Institute,2
Armstrong Fortune,Competitive Enterprise Institute,2
Association of American Railroads,Competitive Enterprise Institute,2
AT&T,Competitive Enterprise Institute,2
Atlas Society,Competitive Enterprise Institute,2
Bader Fortune,Competitive Enterprise Institute,2
BakerHostetler,Competitive Enterprise Institute,2
Barry Seid,Competitive Enterprise Institute,2
Bill Dunn,Competitive Enterprise Institute,2
Bill Dunn Fortune,Competitive Enterprise Institute,2
Biotechnology Industry Organization,Competitive Enterprise Institute,2
BNSF Railway,Competitive Enterprise Institute,2
Boyden Gray,Competitive Enterprise Institute,2
Bracewell & Giuliani,Competitive Enterprise Institute,2
Bradley Foundation,Competitive Enterprise Institute,2
Castle Rock Foundation,Competitive Enterprise Institute,2
Challenge Foundation,Competitive Enterprise Institute,2
Chase Foundation of Virginia,Competitive Enterprise Institute,2
Chris Horner,Competitive Enterprise Institute,2
Claude R. Lambe Foundation,Competitive Enterprise Institute,2
Claws Foundation,Competitive Enterprise Institute,2
ClearWord Communications,Competitive Enterprise Institute,2
Concord Fund/85 Fund,Competitive Enterprise Institute,2
Consumer Electronics Association,Competitive Enterprise Institute,2
Cooler Heads Coalition,Competitive Enterprise Institute,2
Coors Fortune,Competitive Enterprise Institute,2
CSX Corporation,Competitive Enterprise Institute,2
David Koch,Competitive Enterprise Institute,2
DCI Group,Competitive Enterprise Institute,2
Deramus Foundation,Competitive Enterprise Institute,2
Devon Energy,Competitive Enterprise Institute,2
DeVos Fortune,Competitive Enterprise Institute,2
Diana Davis Spencer Foundation,Competitive Enterprise Institute,2
Donald & Paula Smith Fortune,Competitive Enterprise Institute,2
DonorsTrust/Donors Capital Fund,Competitive Enterprise Institute,2
Doug Collins,Competitive Enterprise Institute,2
E L Craig Foundation,Competitive Enterprise Institute,2
Earhart Foundation,Competitive Enterprise Institute,2
Eric Javits Family Foundation,Competitive Enterprise Institute,2
ExxonMobil,Competitive Enterprise Institute,2
Ford Motor Company,Competitive Enterprise Institute,2
Fred Smith,Competitive Enterprise Institute,2
Google,Competitive Enterprise Institute,2
Gordon and Mary Cain Foundation,Competitive Enterprise Institute,2
Hans Bader,Competitive Enterprise Institute,2
Henry Miller,Competitive Enterprise Institute,2
Henry Miller,Competitive Enterprise Institute,2
Heritage Foundation,Competitive Enterprise Institute,2
Holman Foundation,Competitive Enterprise Institute,2
Jack Kemp,Competitive Enterprise Institute,2
James Lankford,Competitive Enterprise Institute,2
Jaquelin Hume Foundation,Competitive Enterprise Institute,2
JM Foundation,Competitive Enterprise Institute,2
John M. Olin Foundation,Competitive Enterprise Institute,2
John P and Kathryn G Evans Foundation,Competitive Enterprise Institute,2
John William Pope Foundation,Competitive Enterprise Institute,2
Koch Network,Competitive Enterprise Institute,2
Krieble Foundations,Competitive Enterprise Institute,2
Lawson Bader,Competitive Enterprise Institute,2
Leadership Institute,Competitive Enterprise Institute,2
Leonard Leo,Competitive Enterprise Institute,2
Lowndes Foundation,Competitive Enterprise Institute,2
Marathon Petroleum,Competitive Enterprise Institute,2
MasterCard,Competitive Enterprise Institute,2
Mellon Scaife Fortune,Competitive Enterprise Institute,2
Meta,Competitive Enterprise Institute,2
Michael Fumento,Competitive Enterprise Institute,2
Michael Greve,Competitive Enterprise Institute,2
Michelle Malkin,Competitive Enterprise Institute,2
Microsoft,Competitive Enterprise Institute,2
Monsanto,Competitive Enterprise Institute,2
Motion Picture Association of America,Competitive Enterprise Institute,2
Murray Energy,Competitive Enterprise Institute,2
Myron Ebell,Competitive Enterprise Institute,2
National Christian Charitable Foundation,Competitive Enterprise Institute,2
National Philanthropic Trust,Competitive Enterprise Institute,2
Norfolk Southern,Competitive Enterprise Institute,2
PepsiCo,Competitive Enterprise Institute,2
Philip M. McKenna Foundation,Competitive Enterprise Institute,2
Phillips 66,Competitive Enterprise Institute,2
PhRMA,Competitive Enterprise Institute,2
Pierre F. and Enid Goodrich Foundation,Competitive Enterprise Institute,2
Policy Circle,Competitive Enterprise Institute,2
Project 2025,Competitive Enterprise Institute,2
Robertson-Finley Foundation,Competitive Enterprise Institute,2
Rodney Fund,Competitive Enterprise Institute,2
Roe Foundation,Competitive Enterprise Institute,2
Roy Marden,Competitive Enterprise Institute,2
Schwab Charitable Fund,Competitive Enterprise Institute,2
Searle Fortune,Competitive Enterprise Institute,2
Seid Fortune,Competitive Enterprise Institute,2
Shelby Cullom Davis Foundation,Competitive Enterprise Institute,2
Smith Richardson Foundation,Competitive Enterprise Institute,2
Stephen Modzelewski,Competitive Enterprise Institute,2
Syngenta,Competitive Enterprise Institute,2
T-Mobile,Competitive Enterprise Institute,2
Thomas Smith Fortune,Competitive Enterprise Institute,2
TWS Foundation,Competitive Enterprise Institute,2
U.S. Chamber of Commerce,Competitive Enterprise Institute,2
Uber,Competitive Enterprise Institute,2
Uihlein Fortune,Competitive Enterprise Institute,2
Vanguard Charitable Endowment Program,Competitive Enterprise Institute,2
Verizon,Competitive Enterprise Institute,2
White House Writers Group,Competitive Enterprise Institute,2
William H. Donner Foundation,Competitive Enterprise Institute,2
William Happer,Competitive Enterprise Institute,2
American Encore,Concerned Veterans for America,2
Avik Roy,Concerned Veterans for America,2
Koch Network,Concerned Veterans for America,2
American Encore,Concerned Women for America,2
Beverly LaHaye,Concerned Women for America,2
Concord Fund/85 Fund,Concerned Women for America,2
DonorsTrust/Donors Capital Fund,Concerned Women for America,2
Freedom Partners,Concerned Women for America,2
James Bopp,Concerned Women for America,2
Janice Crouse,Concerned Women for America,2
Koch Network,Concerned Women for America,2
Prince Fortune,Concerned Women for America,2
David Walker,Concord Coalition,2
DonorsTrust/Donors Capital Fund,Concord Coalition,2
Doug Holtz-Eakin,Concord Coalition,2
Gary Gerst,Concord Coalition,2
Paul Volcker,Concord Coalition,2
Pete Peterson,Concord Coalition,2
Peterson Fortune,Concord Coalition,2
Sam Nunn,Concord Coalition,2
45Committee,Concord Fund/85 Fund,2
ALEC,Concord Fund/85 Fund,2
Ann Corkery,Concord Fund/85 Fund,2
BH Fund,Concord Fund/85 Fund,2
BH Group,Concord Fund/85 Fund,2
Bradley Foundation,Concord Fund/85 Fund,2
Carrie Severino,Concord Fund/85 Fund,2
Center for Independent Thought,Concord Fund/85 Fund,2
CRC Advisors,Concord Fund/85 Fund,2
CRC Advisors,Concord Fund/85 Fund,2
Daniel Casey,Concord Fund/85 Fund,2
Diana Davis Spencer Foundation,Concord Fund/85 Fund,2
Donatelli Group,Concord Fund/85 Fund,2
DonorsTrust/Donors Capital Fund,Concord Fund/85 Fund,2
Fidelity Investments Charitable Gift Fund,Concord Fund/85 Fund,2
Frank Scaturro,Concord Fund/85 Fund,2
Gary Marx,Concord Fund/85 Fund,2
Gary Marx,Concord Fund/85 Fund,2
Hickory Foundation,Concord Fund/85 Fund,2
Holtzman Vogel,Concord Fund/85 Fund,2
John William Pope Foundation,Concord Fund/85 Fund,2
Jones Day,Concord Fund/85 Fund,2
Leonard Leo,Concord Fund/85 Fund,2
Marble Freedom Trust,Concord Fund/85 Fund,2
Marlyn Lloyd,Concord Fund/85 Fund,2
National Christian Charitable Foundation,Concord Fund/85 Fund,2
National Philanthropic Trust,Concord Fund/85 Fund,2
Neil Corkery,Concord Fund/85 Fund,2
Regnery Publishing,Concord Fund/85 Fund,2
Robin Arkley,Concord Fund/85 Fund,2
Rule of Law Trust,Concord Fund/85 Fund,2
Schwab Charitable Fund,Concord Fund/85 Fund,2
Thomas Smith Fortune,Concord Fund/85 Fund,2
Trent England,Concord Fund/85 Fund,2
Uihlein Fortune,Concord Fund/85 Fund,2
Vanguard Charitable Endowment Program,Concord Fund/85 Fund,2
Wellspring Committee,Concord Fund/85 Fund,2
Wellspring Committee,Concord Fund/85 Fund,2
Wendy Long,Concord Fund/85 Fund,2
Wendy Long,Concord Fund/85 Fund,2
Kori Schake,Condoleezza Rice,2
Stephen Hadley,Condoleezza Rice,2
10/7 Project,Conference of Presidents of Major American Jewish Organizations,2
Mort Zuckerman,Conference of Presidents of Major American Jewish Organizations,2
Ronald Lauder,Conference of Presidents of Major American Jewish Organizations,2
CIA,Congress for Cultural Freedom,2
Cord Meyer,Congress for Cultural Freedom,2
Encounter,Congress for Cultural Freedom,2
Ford Foundation,Congress for Cultural Freedom,2
Irving Kristol,Congress for Cultural Freedom,2
Melvin Lasky,Congress for Cultural Freedom,2
Michael Josselson,Congress for Cultural Freedom,2
Sidney Hook,Congress for Cultural Freedom,2
Tom Braden,Congress for Cultural Freedom,2
Andy Barr,Congressional Border Security Caucus,2
Andy Biggs,Congressional Border Security Caucus,2
Brian Babin,Congressional Border Security Caucus,2
Jesse Helms,Congressional Club,2
Tom Ellis,Congressional Club,2
Dan Meuser,Congressional Coal Caucus,2
Morgan Griffith,Congressional Coal Caucus,2
Adrian Smith,Congressional Constitution Caucus,2
Andy Barr,Congressional Constitution Caucus,2
Ann Wagner,Congressional Constitution Caucus,2
Bill Huizenga,Congressional Constitution Caucus,2
Bill Posey,Congressional Constitution Caucus,2
Billy Long,Congressional Constitution Caucus,2
Blaine Luetkemeyer,Congressional Constitution Caucus,2
Bob Barr,Congressional Constitution Caucus,2
Bob Gibbs,Congressional Constitution Caucus,2
Cathy McMorris Rodgers,Congressional Constitution Caucus,2
Chris Stewart,Congressional Constitution Caucus,2
Cory Gardner,Congressional Constitution Caucus,2
Curt Clawson,Congressional Constitution Caucus,2
Darrell Issa,Congressional Constitution Caucus,2
Dennis A. Ross,Congressional Constitution Caucus,2
Doug Lamborn,Congressional Constitution Caucus,2
Glenn Thompson,Congressional Constitution Caucus,2
Jason Chaffetz,Congressional Constitution Caucus,2
Jim Jordan,Congressional Constitution Caucus,2
Joe Wilson,Congressional Constitution Caucus,2
John Fleming,Congressional Constitution Caucus,2
John Shadegg,Congressional Constitution Caucus,2
Kevin Brady,Congressional Constitution Caucus,2
